วันเดือนปี,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,ปริมาณ,% เปลี่ยน
15-Oct-19,5595.00,"5,505.00","5,601.00","5,505.00",0.07K,1.63%
14-Oct-19,5505.00,"5,520.00","5,690.00","5,499.00",0.03K,-0.27%
13-Oct-19,5520.00,"5,528.00","5,698.00","5,400.00",0.02K,-0.14%
12-Oct-19,5528.00,"5,522.00","5,740.00","5,522.00",0.01K,0.11%
11-Oct-19,5522.00,"5,750.00","5,750.00","5,522.00",0.05K,-3.97%
10-Oct-19,5750.00,"5,522.00","5,804.00","5,522.00",0.08K,4.13%
9-Oct-19,5522.00,"5,400.00","5,810.00","5,300.00",0.08K,2.26%
8-Oct-19,5400.00,"5,448.00","5,600.00","5,253.00",0.14K,-0.88%
7-Oct-19,5448.00,"5,260.00","5,448.00","5,150.00",0.10K,2.79%
6-Oct-19,5300.00,"5,250.00","5,350.00","5,250.00",0.01K,0.95%
5-Oct-19,5250.00,"5,230.00","5,440.00","5,230.00",0.02K,0.38%
4-Oct-19,5230.00,"5,250.00","5,498.00","5,201.00",0.07K,-0.38%
3-Oct-19,5250.00,"5,500.00","5,500.00","5,250.00",0.12K,-4.55%
2-Oct-19,5500.00,"5,400.10","5,500.00","5,350.00",0.05K,1.85%
1-Oct-19,5400.10,"5,331.00","5,700.00","5,331.00",0.08K,-0.69%
30-Sep-19,5437.60,"5,150.00","5,500.00","5,150.00",0.30K,5.58%
29-Sep-19,5150.00,"5,450.00","5,450.00","5,150.00",0.22K,-5.50%
28-Sep-19,5450.00,"5,454.00","5,454.00","5,200.00",0.24K,-0.07%
27-Sep-19,5454.00,"5,088.00","5,500.00","5,050.00",0.55K,7.19%
26-Sep-19,5088.00,"5,350.00","5,350.00","4,700.00",0.30K,-4.90%
25-Sep-19,5350.00,"5,150.00","5,500.00","5,150.00",0.25K,3.88%
24-Sep-19,5150.00,"6,200.00","6,390.00","5,150.00",0.34K,-19.41%
23-Sep-19,6390.00,"6,200.00","6,488.00","6,200.00",0.25K,3.06%
22-Sep-19,6200.00,"6,630.00","6,630.00","6,200.00",0.27K,-6.06%
21-Sep-19,6600.00,"6,666.00","6,666.00","6,540.00",0.24K,-0.99%
20-Sep-19,6666.00,"6,699.00","6,800.00","6,501.00",0.22K,-0.49%
19-Sep-19,6699.00,"6,499.00","6,700.00","6,101.00",0.27K,7.48%
18-Sep-19,6232.50,"6,099.00","6,580.00","6,000.00",0.35K,2.19%
17-Sep-19,6099.00,"5,950.00","6,350.00","5,705.00",0.32K,2.50%
16-Sep-19,5950.00,"5,600.00","5,950.00","5,600.00",0.36K,6.25%
15-Sep-19,5600.00,"5,440.00","5,800.00","5,440.00",0.39K,0.00%
14-Sep-19,5600.00,"5,340.00","5,600.00","5,332.00",0.44K,2.85%
13-Sep-19,5445.00,"5,334.00","5,480.00","5,332.00",0.38K,-0.64%
12-Sep-19,5480.00,"5,500.00","5,559.00","5,330.00",0.39K,-0.36%
11-Sep-19,5500.00,"5,589.00","5,589.00","5,232.00",0.42K,-1.59%
10-Sep-19,5589.00,"5,690.00","5,690.00","5,218.00",0.38K,-1.78%
9-Sep-19,5690.00,"5,360.00","5,956.00","5,336.00",0.41K,-4.47%
8-Sep-19,5956.00,"5,380.00","5,956.00","5,149.20",0.44K,10.71%
7-Sep-19,5380.00,"5,151.00","5,380.00","5,149.00",0.39K,4.45%
6-Sep-19,5151.00,"5,192.10","325,000.00","5,134.80",0.49K,-0.96%
5-Sep-19,5200.90,"5,255.50","5,261.70","5,118.10",0.63K,-1.16%
4-Sep-19,5261.70,"5,200.00","5,300.00","4,854.10",0.48K,1.19%
3-Sep-19,5200.00,"4,730.80","5,250.00","4,500.00",0.35K,9.92%
2-Sep-19,4730.80,"5,314.00","5,314.00","4,729.20",0.38K,-10.56%
1-Sep-19,5289.60,"5,229.50","5,377.30","5,226.10",0.40K,1.15%
31-Aug-19,5229.50,"5,228.80","5,235.10","5,171.60",0.40K,0.06%
30-Aug-19,5226.30,"5,241.40","5,283.10","5,173.10",0.40K,-0.34%
29-Aug-19,5244.20,"5,378.00","5,378.00","5,173.90",0.40K,-2.38%
28-Aug-19,5371.80,"5,733.70","5,785.10","5,306.90",0.40K,-6.37%
27-Aug-19,5737.20,"5,789.70","5,797.90","5,722.00",0.40K,-0.99%
26-Aug-19,5794.30,"5,785.20","5,868.40","5,781.10",0.40K,0.22%
25-Aug-19,5781.50,"5,888.40","5,897.20","5,704.80",0.40K,-1.85%
24-Aug-19,5890.40,"5,912.00","5,912.00","5,811.20",0.40K,-0.27%
23-Aug-19,5906.50,"5,938.90","5,938.90","5,873.20",0.40K,-0.28%
22-Aug-19,5923.40,"5,811.80","6,049.80","5,679.80",0.40K,2.15%
21-Aug-19,5798.50,"6,022.40","6,022.40","5,656.60",0.42K,-3.72%
20-Aug-19,6022.40,"6,080.00","6,080.00","5,448.60",0.38K,-0.95%
19-Aug-19,6080.00,"5,943.50","6,189.80","5,924.10",0.38K,2.38%
18-Aug-19,5938.60,"5,745.80","6,060.40","5,731.30",0.39K,3.34%
17-Aug-19,5746.80,"5,750.50","5,859.80","5,726.60",0.61K,-0.23%
16-Aug-19,5760.10,"5,847.00","5,847.00","5,630.90",0.88K,-1.28%
15-Aug-19,5835.00,"5,794.80","5,888.80","5,674.00",0.81K,0.42%
14-Aug-19,5810.80,"6,509.90","6,511.60","5,794.80",0.83K,-10.48%
13-Aug-19,6490.80,"6,551.10","6,611.60","6,394.40",0.89K,-0.92%
12-Aug-19,6551.20,"6,520.90","6,692.20","6,520.90",0.88K,-2.11%
11-Aug-19,6692.20,"6,415.70","6,692.20","6,393.80",0.77K,4.31%
10-Aug-19,6415.70,"6,498.70","6,639.20","6,305.90",0.89K,-1.28%
9-Aug-19,6498.70,"6,845.00","6,849.70","6,451.80",0.83K,-5.10%
8-Aug-19,6847.80,"6,892.10","6,938.60","6,718.50",0.84K,-0.34%
7-Aug-19,6871.00,"6,892.20","6,943.10","6,797.10",0.59K,-0.04%
6-Aug-19,6874.00,"6,995.70","6,995.70","6,283.70",0.43K,-1.74%
5-Aug-19,6995.70,"6,818.40","6,995.70","6,779.70",0.55K,2.62%
4-Aug-19,6817.20,"6,788.80","6,877.60","6,744.90",0.82K,0.42%
3-Aug-19,6788.80,"6,684.70","6,792.50","6,667.90",0.60K,1.48%
2-Aug-19,6689.90,"6,646.60","6,695.90","6,639.80",0.71K,0.65%
1-Aug-19,6646.60,"6,774.80","6,774.80","6,400.00",0.86K,-1.86%
31-Jul-19,6772.40,"6,502.70","6,774.80","6,502.70",0.83K,4.15%
30-Jul-19,6502.70,"6,597.50","6,622.70","6,416.00",0.84K,-1.35%
29-Jul-19,6591.40,"6,566.80","6,660.70","6,510.00",0.81K,0.38%
28-Jul-19,6566.80,"6,442.00","6,869.90","6,442.00",0.47K,1.94%
27-Jul-19,6442.00,"6,754.00","6,874.90","6,421.80",0.76K,-4.66%
26-Jul-19,6757.30,"6,812.40","6,815.30","6,638.70",0.87K,-0.81%
25-Jul-19,6812.40,"6,763.40","6,908.90","6,698.00",0.85K,0.93%
24-Jul-19,6749.50,"6,713.30","6,763.40","6,429.60",0.56K,0.45%
23-Jul-19,6719.10,"6,748.50","6,800.00","6,711.70",0.59K,-0.43%
22-Jul-19,6748.50,"7,013.70","7,067.30","6,740.50",0.77K,-3.70%
21-Jul-19,7007.50,"7,144.60","7,145.00","6,774.70",0.64K,-1.89%
20-Jul-19,7142.60,"6,756.10","7,144.60","6,735.80",0.51K,5.72%
19-Jul-19,6756.10,"7,033.50","7,041.50","6,735.80",0.64K,-4.05%
18-Jul-19,7041.50,"6,500.50","7,041.50","6,424.50",0.59K,8.32%
17-Jul-19,6500.50,"6,526.70","6,754.30","6,104.80",0.85K,-0.40%
16-Jul-19,6526.70,"7,124.70","7,226.20","6,526.70",0.75K,-8.88%
15-Jul-19,7163.00,"7,983.00","7,983.00","6,858.90",0.70K,-10.27%
14-Jul-19,7983.00,"8,451.70","8,476.20","7,983.00",0.62K,-5.55%
13-Jul-19,8452.00,"8,554.10","8,567.90","8,434.40",0.69K,-1.13%
12-Jul-19,8549.00,"8,437.00","8,571.10","8,412.60",0.74K,1.29%
11-Jul-19,8439.90,"8,956.40","8,967.20","8,368.60",0.78K,-5.88%
10-Jul-19,8967.20,"9,542.20","9,722.60","8,818.40",0.77K,-5.88%
9-Jul-19,9527.90,"9,662.50","9,801.80","9,403.50",0.89K,-1.70%
8-Jul-19,9693.10,"9,247.90","9,697.00","9,245.80",0.87K,4.83%
7-Jul-19,9246.90,"8,938.40","9,249.90","8,650.00",0.71K,3.58%
6-Jul-19,8927.20,"8,911.10","9,177.90","8,869.40",0.88K,-0.11%
5-Jul-19,8937.10,"8,910.80","9,118.30","8,772.70",0.87K,0.25%
4-Jul-19,8914.70,"9,240.00","9,246.10","8,910.80",0.88K,-3.51%
3-Jul-19,9239.30,"9,006.80","9,241.40","9,006.80",0.89K,2.36%
2-Jul-19,9025.80,"9,170.00","9,206.30","8,481.20",0.88K,-1.48%
1-Jul-19,9161.50,"9,525.30","9,525.30","8,735.50",0.67K,-3.82%
30-Jun-19,9525.30,"9,784.60","10,157.10","9,500.00",0.70K,-2.68%
29-Jun-19,9787.50,"9,646.30","9,800.00","9,600.00",0.68K,1.59%
28-Jun-19,9634.50,"9,212.60","9,686.80","9,165.10",0.88K,5.12%
27-Jun-19,9165.10,"10,768.40","10,768.40","9,007.80",0.71K,-14.89%
26-Jun-19,10768.40,"9,831.50","10,768.40","9,818.70",0.57K,9.43%
25-Jun-19,9840.20,"9,635.10","9,856.80","9,609.20",0.80K,2.04%
24-Jun-19,9643.60,"9,714.90","9,732.10","9,508.70",0.69K,-0.73%
23-Jun-19,9714.90,"9,742.50","9,856.50","9,525.80",0.42K,-0.24%
22-Jun-19,9738.50,"9,280.20","9,863.40","9,233.20",0.65K,5.27%
21-Jun-19,9251.00,"8,483.70","9,280.20","8,483.70",0.56K,8.93%
20-Jun-19,8492.30,"8,454.30","8,514.40","8,396.30",0.71K,0.35%
19-Jun-19,8463.10,"8,337.70","8,476.10","8,326.60",0.80K,1.64%
18-Jun-19,8326.60,"8,407.30","8,408.10","8,258.40",0.86K,-0.96%
17-Jun-19,8407.30,"8,486.20","8,492.60","8,398.10",0.80K,-0.72%
16-Jun-19,8468.00,"8,261.40","8,497.00","8,204.20",0.62K,2.45%
15-Jun-19,8265.70,"8,140.20","8,279.90","8,136.50",0.72K,1.59%
14-Jun-19,8136.50,"8,049.60","8,153.60","7,835.80",0.87K,1.58%
13-Jun-19,8009.70,"8,063.20","8,232.20","8,009.70",0.89K,-0.92%
12-Jun-19,8084.10,"7,722.50","8,097.10","7,659.30",0.88K,4.30%
11-Jun-19,7751.00,"7,747.40","7,812.40","7,491.70",0.89K,-0.13%
10-Jun-19,7760.90,"7,249.90","7,760.90","7,207.70",0.74K,6.41%
9-Jun-19,7293.30,"7,812.10","7,815.20","7,207.50",0.77K,-6.68%
8-Jun-19,7815.20,"7,931.50","8,054.90","7,612.90",0.50K,-1.43%
7-Jun-19,7928.50,"7,686.10","7,973.40","7,482.00",0.87K,2.03%
6-Jun-19,7770.50,"7,641.90","7,793.60","7,481.00",0.89K,1.75%
5-Jun-19,7636.90,"7,556.80","7,666.20","7,556.80",0.80K,0.88%
4-Jun-19,7570.00,"7,950.50","7,950.50","7,458.80",0.89K,-4.56%
3-Jun-19,7931.60,"8,518.70","8,522.70","7,931.60",0.52K,-6.88%
2-Jun-19,8517.40,"8,365.10","8,529.30","8,335.70",0.88K,2.12%
1-Jun-19,8340.40,"8,349.90","8,557.20","8,300.00",0.83K,-0.11%
31-May-19,8349.90,"8,198.30","8,349.90","8,191.90",0.58K,1.65%
30-May-19,8214.40,"8,580.40","9,172.00","8,174.00",0.76K,-4.28%
29-May-19,8581.30,"8,583.20","8,584.20","8,450.50",0.85K,0.02%
28-May-19,8579.40,"8,471.60","8,583.80","8,250.00",0.49K,1.53%
27-May-19,8450.00,"7,958.00","8,492.60","7,958.00",0.75K,6.18%
26-May-19,7958.00,"8,055.30","8,067.70","7,958.00",0.42K,-1.22%
25-May-19,8056.10,"7,969.50","8,173.40","7,942.00",0.44K,1.15%
24-May-19,7964.30,"7,842.90","8,089.40","7,780.50",0.80K,1.61%
23-May-19,7837.80,"7,833.40","7,843.10","7,372.90",0.61K,0.06%
22-May-19,7833.40,"8,084.00","8,093.00","7,833.40",0.75K,-3.10%
21-May-19,8084.00,"8,020.80","8,095.70","7,954.60",0.78K,0.79%
20-May-19,8020.80,"8,143.70","8,198.40","7,858.00",0.84K,-1.48%
19-May-19,8141.70,"7,689.60","8,214.10","7,689.60",0.51K,5.88%
18-May-19,7689.60,"7,807.70","7,807.70","7,669.40",0.58K,-0.05%
17-May-19,7693.60,"8,267.80","8,267.80","7,251.80",0.55K,-6.95%
16-May-19,8267.80,"7,490.50","8,775.40","7,490.50",0.52K,10.38%
15-May-19,7490.50,"6,666.00","7,500.00","6,433.10",0.52K,12.37%
14-May-19,6666.00,"6,288.40","6,666.00","6,288.40",0.40K,5.32%
13-May-19,6329.30,"6,013.80","6,396.40","6,006.60",0.67K,4.85%
12-May-19,6036.60,"5,817.30","6,414.70","5,817.30",0.70K,3.77%
11-May-19,5817.30,"5,441.00","5,817.30","5,441.00",0.39K,6.92%
10-May-19,5441.00,"5,434.90","5,441.00","5,434.90",0.35K,0.11%
9-May-19,5434.90,"5,428.80","5,434.90","5,425.10",0.47K,0.15%
8-May-19,5426.80,"5,433.90","5,440.90","5,332.70",0.78K,-0.13%
7-May-19,5433.90,"5,589.60","5,598.60","5,051.00",0.46K,-2.79%
6-May-19,5589.60,"5,187.70","5,598.80","5,050.00",0.65K,7.71%
5-May-19,5189.50,"5,214.50","5,218.90","5,146.90",0.80K,-0.56%
4-May-19,5218.90,"5,258.60","5,258.60","5,173.20",0.75K,-0.76%
3-May-19,5258.60,"5,146.20","5,260.10","5,137.20",0.53K,2.18%
2-May-19,5146.20,"5,167.20","5,167.20","5,125.70",0.72K,-0.28%
1-May-19,5160.90,"5,199.10","5,254.00","5,108.90",0.88K,-0.69%
30-Apr-19,5196.60,"4,995.40","5,235.40","4,817.00",0.64K,3.81%
29-Apr-19,5006.00,"5,085.30","5,105.10","4,951.90",0.87K,-1.59%
28-Apr-19,5087.00,"5,125.50","5,160.40","5,081.00",0.88K,-0.92%
27-Apr-19,5134.30,"5,079.40","5,208.00","5,040.90",0.88K,1.17%
26-Apr-19,5074.70,"5,485.10","5,485.10","5,000.20",0.73K,-7.48%
25-Apr-19,5485.10,"5,409.10","5,485.10","5,407.70",0.36K,1.38%
24-Apr-19,5410.20,"5,625.60","5,625.60","5,401.00",0.37K,-3.83%
23-Apr-19,5625.60,"5,471.70","5,639.70","5,467.80",0.79K,2.56%
22-Apr-19,5485.30,"5,418.80","5,520.10","5,266.50",0.81K,1.12%
21-Apr-19,5424.60,"5,557.50","5,562.90","5,323.10",0.87K,-2.49%
20-Apr-19,5562.90,"5,523.00","5,637.00","5,492.60",0.88K,0.67%
19-Apr-19,5526.00,"5,542.50","5,561.00","5,466.40",0.86K,-0.83%
18-Apr-19,5572.10,"5,382.30","5,624.30","5,380.20",0.55K,-31.46%
23-Sep-18,8130.00,"7,967.30","8,219.50","7,904.10",1.21K,2.35%
22-Sep-18,7943.70,"8,296.90","8,296.90","7,777.80",1.01K,-4.26%
21-Sep-18,8296.90,"7,010.20","8,296.90","7,010.20",1.36K,18.35%
20-Sep-18,7010.20,"6,930.70","7,087.90","6,865.80",1.52K,1.15%
19-Sep-18,6930.70,"6,948.80","7,040.00","6,855.30",1.67K,-0.26%
18-Sep-18,6948.80,"6,539.80","6,995.30","6,485.10",1.64K,6.25%
17-Sep-18,6539.80,"7,278.10","7,290.00","6,473.60",1.32K,-10.16%
16-Sep-18,7279.50,"7,285.80","7,287.60","7,069.60",1.70K,0.03%
15-Sep-18,7277.10,"7,127.40","7,286.50","6,956.20",1.53K,2.10%
14-Sep-18,7127.40,"7,108.80","7,284.90","6,756.40",1.21K,0.26%
13-Sep-18,7108.80,"5,932.30","7,108.80","5,932.30",0.42K,19.83%
12-Sep-18,5932.30,"6,114.30","6,114.30","5,649.80",0.72K,-3.02%
11-Sep-18,6117.10,"6,401.00","6,669.40","6,111.30",1.32K,-4.43%
10-Sep-18,6401.00,"6,467.90","6,605.50","6,266.00",1.41K,-1.03%
9-Sep-18,6467.90,"6,453.50","6,843.70","6,157.40",1.12K,0.03%
8-Sep-18,6466.00,"7,260.50","7,274.20","6,240.70",1.37K,-10.94%
7-Sep-18,7260.50,"7,567.90","7,612.80","7,257.60",1.56K,-4.06%
6-Sep-18,7567.90,"7,803.30","7,803.30","7,244.70",1.77K,-3.02%
5-Sep-18,7803.30,"9,230.50","9,290.60","7,803.30",1.82K,-15.46%
4-Sep-18,9230.50,"9,338.50","9,411.20","9,225.50",1.06K,-1.16%
3-Sep-18,9338.50,"9,539.10","9,539.10","9,140.10",0.96K,-1.41%
2-Sep-18,9472.50,"9,532.30","9,584.20","9,189.20",1.61K,-0.63%
1-Sep-18,9532.30,"9,396.00","9,645.50","9,072.00",1.04K,1.45%
31-Aug-18,9396.00,"9,396.00","9,573.60","9,127.50",1.07K,0.00%
30-Aug-18,9396.00,"9,608.60","9,621.90","8,988.00",1.31K,-2.75%
29-Aug-18,9661.30,"9,840.10","9,974.70","9,531.50",1.58K,-1.82%
28-Aug-18,9840.10,"9,186.00","9,840.10","9,186.00",1.25K,7.12%
27-Aug-18,9186.00,"9,074.10","9,238.80","9,047.50",1.41K,1.23%
26-Aug-18,9074.10,"9,282.90","9,282.90","9,015.00",1.42K,-2.25%
25-Aug-18,9282.90,"9,323.70","9,363.70","9,193.00",1.50K,-0.44%
24-Aug-18,9323.70,"9,126.00","9,353.10","8,985.10",1.35K,2.17%
23-Aug-18,9126.00,"8,938.40","9,280.60","8,938.40",1.50K,2.10%
22-Aug-18,8938.40,"9,324.40","9,685.10","8,882.70",1.47K,-4.04%
21-Aug-18,9314.30,"9,900.00","9,900.00","9,069.50",0.84K,-5.92%
20-Aug-18,9900.00,"9,990.70","10,038.90","9,900.00",1.42K,-1.13%
19-Aug-18,10013.20,"9,640.20","10,082.90","9,631.00",1.54K,1.63%
18-Aug-18,9852.40,"10,503.50","10,557.30","9,462.40",1.57K,-5.68%
17-Aug-18,10446.00,"9,553.50","10,446.00","9,553.50",1.51K,10.38%
16-Aug-18,9463.30,"9,300.40","9,781.90","9,300.40",1.58K,2.28%
15-Aug-18,9252.10,"9,425.70","10,120.00","9,239.20",1.26K,4.98%
14-Aug-18,8813.30,"9,135.80","9,135.80","8,698.60",1.17K,-6.66%
13-Aug-18,9442.10,"10,578.20","10,616.40","9,385.60",0.88K,-10.74%
12-Aug-18,10578.20,"10,496.30","10,776.80","10,496.30",0.32K,-3.06%
11-Aug-18,10911.80,"11,054.80","11,054.80","10,161.30",0.33K,-0.11%
10-Aug-18,10924.20,"12,268.00","12,268.00","10,924.20",0.34K,-10.95%
9-Aug-18,12268.00,"12,236.60","12,268.00","11,904.90",0.39K,0.26%
8-Aug-18,12236.60,"13,441.90","13,441.90","12,236.60",0.37K,-8.97%
7-Aug-18,13441.90,"13,517.30","13,631.80","13,441.90",0.24K,-0.19%
6-Aug-18,13466.90,"13,611.60","13,715.90","13,376.10",0.10K,-1.21%
5-Aug-18,13632.10,"13,521.00","13,800.00","13,279.50",0.57K,0.82%
4-Aug-18,13521.00,"13,898.90","14,022.50","13,256.60",1.03K,-2.72%
3-Aug-18,13898.90,"13,681.30","14,037.60","13,101.80",0.85K,1.59%
2-Aug-18,13681.30,"13,971.20","14,163.10","13,633.80",0.93K,-2.07%
1-Aug-18,13971.20,"14,304.80","14,398.90","13,586.90",0.98K,-2.33%
31-Jul-18,14304.80,"15,145.10","15,145.10","14,299.50",1.07K,-5.66%
30-Jul-18,15163.10,"15,540.20","15,540.20","14,913.80",0.65K,-2.43%
29-Jul-18,15540.20,"15,518.90","15,580.10","15,366.90",0.36K,0.14%
28-Jul-18,15518.90,"15,621.60","15,621.60","15,389.30",0.33K,-0.66%
27-Jul-18,15621.60,"15,307.20","15,621.60","15,188.50",0.41K,2.05%
26-Jul-18,15307.20,"15,741.20","15,894.20","15,307.20",1.05K,-2.76%
25-Jul-18,15741.20,"15,876.80","15,877.30","15,590.80",1.03K,-0.86%
24-Jul-18,15878.50,"15,097.20","15,886.60","15,094.10",0.65K,5.17%
23-Jul-18,15097.20,"15,046.90","15,431.50","15,045.10",0.92K,0.33%
22-Jul-18,15046.90,"15,045.10","15,181.30","15,035.70",1.07K,0.01%
21-Jul-18,15045.10,"15,018.50","15,112.70","15,015.10",1.09K,0.19%
20-Jul-18,15016.10,"15,390.60","15,398.50","15,013.10",1.02K,-2.43%
19-Jul-18,15390.60,"16,524.80","16,525.90","15,382.40",1.06K,-6.86%
18-Jul-18,16524.80,"16,485.60","16,526.50","16,484.40",0.87K,0.24%
17-Jul-18,16485.60,"15,584.40","16,493.10","15,523.70",0.84K,5.72%
16-Jul-18,15594.00,"14,939.20","15,594.40","14,803.60",0.99K,4.38%
15-Jul-18,14939.20,"14,427.90","15,112.50","14,328.90",1.23K,3.54%
14-Jul-18,14427.90,"14,373.40","14,577.80","14,310.80",1.38K,0.80%
13-Jul-18,14312.80,"14,310.70","14,669.30","14,302.50",0.80K,0.02%
12-Jul-18,14310.70,"14,774.30","14,792.70","14,301.50",0.98K,-3.14%
11-Jul-18,14774.30,"14,505.40","14,813.50","14,501.60",1.42K,1.85%
10-Jul-18,14505.40,"15,681.50","15,699.30","14,505.40",1.24K,-7.52%
9-Jul-18,15685.30,"15,742.00","15,748.90","15,670.00",0.73K,-0.36%
8-Jul-18,15742.00,"15,655.10","15,749.50","15,655.10",0.83K,0.55%
7-Jul-18,15655.10,"15,633.80","15,656.70","15,491.30",1.16K,0.17%
6-Jul-18,15629.30,"15,461.20","15,649.30","15,348.80",1.07K,1.07%
5-Jul-18,15463.80,"15,211.60","16,149.20","15,169.60",0.97K,1.66%
4-Jul-18,15211.60,"15,197.00","15,211.60","15,197.00",0.33K,-0.51%
3-Jul-18,15288.90,"15,769.10","16,200.00","15,131.40",0.32K,-3.04%
2-Jul-18,15769.10,"15,028.00","15,847.10","14,943.20",0.61K,4.55%
1-Jul-18,15082.40,"15,031.80","15,235.40","14,884.00",0.65K,0.34%
30-Jun-18,15031.80,"14,626.00","15,291.50","14,572.10",0.63K,2.48%
29-Jun-18,14667.80,"14,093.00","14,667.80","13,678.30",0.97K,4.16%
28-Jun-18,14082.50,"14,811.70","14,835.80","14,082.50",0.54K,-4.94%
27-Jun-18,14814.30,"14,637.60","15,585.10","14,091.70",0.59K,1.04%
26-Jun-18,14661.10,"15,585.10","15,585.10","14,661.10",0.09K,-5.93%
25-Jun-18,15585.10,"15,194.10","15,757.60","14,513.50",0.12K,3.44%
24-Jun-18,15067.00,"15,960.10","15,960.10","14,214.90",0.10K,-5.60%
23-Jun-18,15960.10,"15,356.80","16,091.10","15,356.80",0.38K,3.93%
22-Jun-18,15356.80,"17,363.90","20,903.80","15,246.40",0.22K,-11.54%
21-Jun-18,17359.40,"17,372.90","17,592.30","17,052.30",0.02K,0.02%
20-Jun-18,17355.20,"16,992.20","17,557.90","16,500.00",0.02K,2.14%
19-Jun-18,16992.20,"16,609.30","18,090.10","16,300.00",0.88K,2.31%
18-Jun-18,16609.30,"17,535.50","18,163.60","16,579.00",0.90K,-5.28%
17-Jun-18,17535.50,"18,096.00","18,204.50","15,930.00",0.84K,-3.10%
16-Jun-18,18096.00,"18,290.00","18,293.50","15,793.80",0.84K,-1.06%
15-Jun-18,18290.00,"16,926.10","18,294.80","15,233.40",0.61K,2.67%
14-Jun-18,17814.00,"17,570.20","18,288.80","14,225.00",0.53K,1.39%
13-Jun-18,17570.20,"17,632.40","18,790.00","13,694.20",0.56K,-4.30%
12-Jun-18,18360.00,"17,672.50","18,778.00","17,315.00",0.37K,2.00%
11-Jun-18,18000.00,"18,000.00","18,000.00","18,000.00",-,0.00%
10-Jun-18,18000.00,"19,205.70","19,223.30","18,000.00",0.03K,-6.02%
9-Jun-18,19152.00,"19,140.00","19,252.70","19,103.00",0.03K,0.06%
8-Jun-18,19140.00,"19,341.20","19,361.80","19,047.10",0.01K,-1.08%
7-Jun-18,19349.10,"19,156.60","19,985.00","19,156.00",0.02K,1.00%
6-Jun-18,19156.60,"19,928.20","19,981.00","18,377.00",0.02K,-3.87%
5-Jun-18,19928.20,"19,313.20","19,987.40","17,658.00",0.02K,3.18%
4-Jun-18,19313.20,"19,447.90","20,000.00","18,921.90",0.03K,2.12%
3-Jun-18,18912.20,"19,000.00","20,015.50","17,500.00",0.04K,-0.46%
2-Jun-18,19000.00,"18,716.00","19,000.00","17,879.00",0.01K,4.10%
1-Jun-18,18251.50,"18,582.00","18,780.10","17,817.40",0.01K,-1.78%
31-May-18,18582.00,"18,401.80","18,992.40","17,201.00",0.01K,0.98%
30-May-18,18401.80,"18,490.60","18,979.20","17,883.00",0.01K,-0.48%
29-May-18,18490.60,"18,127.00","18,500.00","16,846.30",0.01K,2.01%
28-May-18,18127.00,"17,764.00","18,714.00","16,922.00",0.01K,-2.90%
27-May-18,18668.00,"19,259.00","19,371.00","16,206.00",0.01K,-3.09%
26-May-18,19264.20,"19,059.70","19,373.00","19,022.20",0.01K,1.01%
25-May-18,19071.30,"17,494.90","19,366.20","17,384.10",0.01K,9.01%
24-May-18,17494.90,"20,731.30","22,001.80","15,992.30",0.92K,-19.74%
23-May-18,21797.70,"22,672.10","23,136.00","18,732.50",1.21K,-3.86%
22-May-18,22672.10,"23,240.00","24,739.00","22,285.00",1.24K,-7.44%
21-May-18,24495.00,"22,944.50","25,000.00","22,500.00",1.27K,5.74%
20-May-18,23166.00,"23,305.70","23,383.30","22,696.00",1.21K,-0.60%
19-May-18,23305.70,"23,066.00","23,376.00","22,500.00",1.25K,0.68%
18-May-18,23149.00,"22,000.00","23,385.00","21,732.50",1.08K,5.22%
17-May-18,22000.00,"23,152.00","23,384.80","22,000.00",0.88K,-4.98%
16-May-18,23152.00,"23,195.00","23,397.00","22,354.20",1.13K,-0.17%
15-May-18,23191.20,"23,412.40","23,428.00","22,949.50",1.14K,-0.94%
14-May-18,23412.40,"23,413.10","23,418.60","21,700.00",0.99K,0.27%
13-May-18,23350.00,"23,007.00","23,426.80","21,427.00",1.07K,1.74%
12-May-18,22951.00,"22,781.00","23,428.00","21,500.00",0.94K,1.56%
11-May-18,22598.00,"25,436.80","25,476.80","22,284.30",0.77K,-11.16%
10-May-18,25436.80,"25,413.00","25,511.20","24,015.20",0.12K,0.09%
9-May-18,25413.00,"24,374.00","25,681.30","23,469.80",0.04K,3.67%
8-May-18,24513.50,"25,490.50","25,707.60","22,890.10",0.04K,-3.83%
7-May-18,25490.50,"23,880.00","25,757.60","22,561.50",0.03K,6.74%
6-May-18,23880.00,"24,100.60","25,000.00","23,563.50",0.02K,-0.34%
5-May-18,23962.00,"24,114.60","24,904.10","23,537.00",0.03K,0.17%
4-May-18,23922.00,"22,953.00","24,500.00","22,872.60",0.03K,0.77%
3-May-18,23739.50,"21,164.00","23,739.50","21,164.00",0.02K,12.17%
2-May-18,21164.00,"20,548.00","21,500.00","20,001.00",-,3.00%
1-May-18,20548.00,"21,532.00","21,697.00","20,484.00",0.03K,-4.03%
30-Apr-18,21411.50,"20,600.40","21,698.00","20,371.00",0.03K,3.15%
29-Apr-18,20758.10,"21,193.40","21,819.00","20,223.50",0.03K,-2.05%
28-Apr-18,21193.40,"21,271.90","21,958.70","20,076.30",0.02K,-0.37%
27-Apr-18,21271.90,"22,216.00","22,366.50","20,000.00",0.03K,-4.25%
